Model,Video Name,Time Taken,Accuracy
HaarCascade,s1 (34).mpg,0.987905740737915,100.0
HaarCascade,s1 (35).mpg,1.0110235214233398,100.0
HaarCascade,s1 (36).mpg,1.1211113929748535,100.0
HaarCascade,s1 (37).mpg,1.0097787380218506,100.0
HaarCascade,s1 (38).mpg,0.9702885150909424,100.0
HaarCascade,s1 (39).mpg,0.9888730049133301,100.0
HaarCascade,s1 (40).mpg,0.9798219203948975,100.0
HaarCascade,s1 (41).mpg,1.092256784439087,100.0
HaarCascade,s1 (42).mpg,1.0972821712493896,100.0
HaarCascade,s1 (43).mpg,0.9717910289764404,100.0
HaarCascade,s1 (44).mpg,0.9823863506317139,100.0
HaarCascade,s1 (45).mpg,1.2882251739501953,100.0
HaarCascade,s1 (46).mpg,1.093803882598877,84.0
HaarCascade,s1 (47).mpg,1.0695149898529053,100.0
HaarCascade,s1 (48).mpg,1.026655673980713,100.0
HaarCascade,s1 (49).mpg,1.0655014514923096,100.0
HaarCascade,s1 (50).mpg,1.101630687713623,100.0
HaarCascade,s1 (51).mpg,1.0807547569274902,100.0
HaarCascade,s1 (52).mpg,0.9763462543487549,100.0
HaarCascade,s1 (53).mpg,1.0065479278564453,100.0
HaarCascade,s1 (54).mpg,1.097891092300415,100.0
HaarCascade,s1 (55).mpg,1.1223647594451904,100.0
HaarCascade,s1 (56).mpg,0.982550859451294,100.0
HaarCascade,s1 (57).mpg,0.9885597229003906,100.0
HaarCascade,s1 (58).mpg,0.9816851615905762,100.0
HaarCascade,s1 (59).mpg,1.0227024555206299,100.0
HaarCascade,s1 (60).mpg,1.0774898529052734,100.0
HaarCascade,s1 (61).mpg,0.9801106452941895,100.0
HaarCascade,s1 (62).mpg,0.9494805335998535,100.0
HaarCascade,s1 (63).mpg,1.0279061794281006,100.0
HaarCascade,s1 (64).mpg,0.9642586708068848,100.0
HaarCascade,s1 (65).mpg,1.0434186458587646,100.0
HaarCascade,s1 (66).mpg,0.9747617244720459,100.0
HaarCascade,s1 (67).mpg,0.9713218212127686,100.0
HaarCascade,s1 (68).mpg,0.9928021430969238,100.0
HaarCascade,s1 (69).mpg,0.9808580875396729,100.0
HaarCascade,s1 (70).mpg,1.03261137008667,100.0
HaarCascade,s1 (71).mpg,0.9891643524169922,100.0
HaarCascade,s1 (72).mpg,0.9388530254364014,100.0
HaarCascade,s1 (73).mpg,0.9914779663085938,100.0
HaarCascade,s1 (74).mpg,0.9661915302276611,100.0
HaarCascade,s1 (75).mpg,1.0484769344329834,100.0
HaarCascade,s1 (76).mpg,0.988654375076294,100.0
HaarCascade,s1 (77).mpg,0.9563994407653809,100.0
HaarCascade,s1 (78).mpg,1.1496753692626953,100.0
HaarCascade,s1 (79).mpg,1.0960779190063477,100.0
HaarCascade,s1 (80).mpg,1.1805322170257568,100.0
HaarCascade,s1 (81).mpg,1.056063175201416,100.0
HaarCascade,s1 (82).mpg,1.0285015106201172,100.0
HaarCascade,s1 (83).mpg,0.9265835285186768,100.0
HaarCascade,s1 (84).mpg,1.0238306522369385,100.0
HaarCascade,s1 (85).mpg,1.1030182838439941,100.0
HaarCascade,s1 (86).mpg,1.2134366035461426,100.0
HaarCascade,s1 (87).mpg,1.0285606384277344,100.0
HaarCascade,s1 (88).mpg,1.063385009765625,100.0
HaarCascade,s1 (89).mpg,1.01029372215271,100.0
HaarCascade,s1 (90).mpg,1.0665695667266846,100.0
HaarCascade,s1 (91).mpg,0.9977927207946777,100.0
HaarCascade,s1 (92).mpg,1.029700756072998,100.0
HaarCascade,s1 (93).mpg,0.9772818088531494,100.0
HaarCascade,s1 (94).mpg,1.0752124786376953,100.0
HaarCascade,s1 (95).mpg,0.9752447605133057,100.0
HaarCascade,s1 (96).mpg,0.9790732860565186,100.0
HaarCascade,s1 (97).mpg,0.9698605537414551,100.0
HaarCascade,s1 (98).mpg,0.9742136001586914,100.0
HaarCascade,s1 (99).mpg,1.103736162185669,100.0
HaarCascade,s1 (100).mpg,0.973783016204834,100.0
HaarCascade,s1 (101).mpg,0.9389758110046387,100.0
HaarCascade,s1 (102).mpg,1.0087096691131592,100.0
HaarCascade,s1 (103).mpg,1.0495197772979736,100.0
HaarCascade,s1 (104).mpg,1.0643904209136963,100.0
HaarCascade,s1 (105).mpg,1.0065290927886963,100.0
HaarCascade,s1 (106).mpg,1.005180835723877,100.0
HaarCascade,s1 (107).mpg,0.9646263122558594,100.0
HaarCascade,s1 (108).mpg,1.027672529220581,100.0
HaarCascade,s1 (109).mpg,1.1141250133514404,100.0
HaarCascade,s1 (110).mpg,0.9860386848449707,100.0
HaarCascade,s1 (111).mpg,1.054619550704956,100.0
HaarCascade,s1 (112).mpg,0.9793832302093506,100.0
HaarCascade,s1 (113).mpg,1.0496845245361328,100.0
HaarCascade,s1 (114).mpg,1.066019058227539,100.0
HaarCascade,s1 (115).mpg,1.0024337768554688,100.0
HaarCascade,s1 (116).mpg,1.0005464553833008,100.0
HaarCascade,s1 (117).mpg,0.9879450798034668,100.0
HaarCascade,s1 (118).mpg,0.9879915714263916,100.0
HaarCascade,s1 (119).mpg,1.0661966800689697,100.0
HaarCascade,s1 (120).mpg,1.074181079864502,100.0
HaarCascade,s1 (121).mpg,1.0578217506408691,100.0
HaarCascade,s1 (122).mpg,1.3511464595794678,100.0
HaarCascade,s1 (123).mpg,1.2501466274261475,100.0
HaarCascade,s1 (124).mpg,1.0403738021850586,100.0
HaarCascade,s1 (125).mpg,1.0541729927062988,100.0
HaarCascade,s1 (126).mpg,1.0414862632751465,100.0
HaarCascade,s1 (127).mpg,1.0287175178527832,100.0
HaarCascade,s1 (128).mpg,1.138709545135498,100.0
HaarCascade,s1 (129).mpg,0.967217206954956,100.0
HaarCascade,s1 (130).mpg,0.9572939872741699,100.0
HaarCascade,s1 (131).mpg,0.9635505676269531,100.0
HaarCascade,s1 (132).mpg,0.9817359447479248,100.0
HaarCascade,s1 (133).mpg,1.0967106819152832,100.0
HaarCascade,s1 (134).mpg,0.985619068145752,100.0
HaarCascade,s1 (135).mpg,0.9821875095367432,100.0
HaarCascade,s1 (136).mpg,0.9824514389038086,100.0
HaarCascade,s1 (137).mpg,1.0037550926208496,100.0
HaarCascade,s1 (138).mpg,1.0563163757324219,100.0
HaarCascade,s1 (139).mpg,0.9799766540527344,100.0
HaarCascade,s1 (140).mpg,0.9897308349609375,100.0
HaarCascade,s1 (141).mpg,0.994297981262207,100.0
HaarCascade,s1 (142).mpg,1.0551304817199707,100.0
HaarCascade,s1 (143).mpg,1.0409412384033203,100.0
HaarCascade,s1 (144).mpg,1.0226664543151855,100.0
HaarCascade,s1 (145).mpg,0.9723896980285645,100.0
HaarCascade,s1 (146).mpg,0.9179744720458984,100.0
HaarCascade,s1 (147).mpg,0.9793753623962402,100.0
HaarCascade,s1 (148).mpg,1.065676212310791,100.0
HaarCascade,s1 (149).mpg,0.9686377048492432,100.0
HaarCascade,s1 (150).mpg,0.9298551082611084,100.0
HaarCascade,s1 (151).mpg,0.9444754123687744,100.0
HaarCascade,s1 (152).mpg,0.9665608406066895,100.0
HaarCascade,s1 (153).mpg,1.091156005859375,100.0
HaarCascade,s1 (154).mpg,0.9711675643920898,100.0
HaarCascade,s1 (155).mpg,1.2100443840026855,100.0
HaarCascade,s1 (156).mpg,1.017604112625122,100.0
HaarCascade,s1 (157).mpg,1.0278737545013428,100.0
HaarCascade,s1 (158).mpg,1.1074764728546143,100.0
HaarCascade,s1 (159).mpg,0.9910662174224854,100.0
HaarCascade,s1 (160).mpg,0.9531989097595215,100.0
HaarCascade,s1 (161).mpg,1.042633056640625,100.0
HaarCascade,s1 (162).mpg,1.1348037719726562,100.0
HaarCascade,s1 (163).mpg,1.0066571235656738,100.0
HaarCascade,s1 (164).mpg,0.9695873260498047,100.0
HaarCascade,s1 (165).mpg,1.006070613861084,100.0
HaarCascade,s1 (166).mpg,1.0394229888916016,100.0
HaarCascade,s1 (167).mpg,0.9204511642456055,84.0
HaarCascade,s1 (168).mpg,1.0682506561279297,100.0
HaarCascade,s1 (169).mpg,0.943134069442749,100.0
HaarCascade,s1 (170).mpg,0.963808536529541,100.0
HaarCascade,s1 (171).mpg,0.9196975231170654,84.0
HaarCascade,s1 (172).mpg,0.99251389503479,100.0
HaarCascade,s1 (173).mpg,1.0884172916412354,100.0
HaarCascade,s1 (174).mpg,0.9706852436065674,100.0
HaarCascade,s1 (175).mpg,0.9837393760681152,100.0
HaarCascade,s1 (176).mpg,0.9790761470794678,100.0
HaarCascade,s1 (177).mpg,0.9767897129058838,100.0
HaarCascade,s1 (178).mpg,1.0395872592926025,100.0
HaarCascade,s1 (179).mpg,0.9690029621124268,100.0
HaarCascade,s1 (180).mpg,0.9674899578094482,100.0
HaarCascade,s1 (181).mpg,0.9660818576812744,100.0
HaarCascade,s1 (182).mpg,1.0123417377471924,100.0
HaarCascade,s1 (183).mpg,1.0328435897827148,100.0
HaarCascade,s1 (184).mpg,0.9387586116790771,100.0
HaarCascade,s1 (185).mpg,0.9829587936401367,100.0
HaarCascade,s1 (186).mpg,0.9704046249389648,100.0
HaarCascade,s1 (187).mpg,0.9388315677642822,100.0
HaarCascade,s1 (188).mpg,1.0294511318206787,100.0
HaarCascade,s1 (189).mpg,1.0002737045288086,100.0
HaarCascade,s1 (190).mpg,0.9215717315673828,100.0
HaarCascade,s1 (191).mpg,0.985863447189331,100.0
HaarCascade,s1 (192).mpg,0.9576013088226318,100.0
HaarCascade,s1 (193).mpg,1.0481033325195312,100.0
HaarCascade,s1 (194).mpg,1.0000455379486084,100.0
HaarCascade,s1 (195).mpg,1.0268771648406982,100.0
HaarCascade,s1 (196).mpg,0.9358847141265869,100.0
